Class_Name,Between_Class_Separation,Within_Class_Variation,Sample_Count
Urban,5.137099239507728,0.5936613247269628,4248
Vegetation,3.8849128968601825,0.8320063232635585,5100
Water,5.604288520470547,0.9991584963907005,4250
